plot,x1,y1,x2,y2,tag,sp,dbh,x3,y3
Demo_plot1,10,3,1,1,A25888,江某,20,27.95,454.18
Demo_plot1,10,3,1,1,A32706,白榕,80,51.19,433.72
Demo_plot1,10,3,1,1,A93382,九節木,1,109.77,468.13
Demo_plot1,10,3,1,1,A96836,長尾栲,8,224.14,481.14
Demo_plot1,10,3,1,1,A58140,軟毛柿,5.2,305.96,403.97
Demo_plot1,10,3,1,1,A59920,野牡丹,8,381.28,381.65
Demo_plot1,10,3,1,1,A53375,烏來冬青,7.5,222.28,158.5
Demo_plot1,10,3,1,1,A81930,水金京,4,266.91,163.15
Demo_plot1,10,3,1,1,A24758,軟毛柿,3,457.52,55.29
Demo_plot1,10,3,1,1,A04865,星刺栲,1,320.84,275.65
Demo_plot1,10,3,1,1,A61426,水同木,9.8,371.98,362.13
Demo_plot1,10,3,1,1,A80751,九節木,2.8,100.47,111.08
Demo_plot1,10,3,1,1,A09015,瓊楠,6.8,13.07,19.95
Demo_plot1,10,3,1,1,A60581,杜英,6.3,82.81,41.34
Demo_plot1,10,3,1,1,A29914,烏來冬青,15,221.35,280.3
Demo_plot1,10,3,1,1,A91946,江某,20,257.61,299.83
Demo_plot1,10,3,1,1,A28493,紅花八角,30,141.38,187.32
Demo_plot1,10,3,1,1,Y25333,臺灣石櫟,20,,
Demo_plot1,10,3,1,1,Y25334,臺灣石櫟,10,,
Demo_plot1,10,3,1,1,Y25335,臺灣石櫟,28,,
Demo_plot1,10,3,1,2,A60544,杜英,1.8,302,279
Demo_plot1,10,3,1,2,A73085,高士佛赤楠,5,309,238
Demo_plot1,10,3,1,2,A99858,紅花八角,1.1,263,127
Demo_plot1,10,3,1,2,A26421,長尾栲,1.9,454,364
Demo_plot1,10,3,1,2,A90496,野牡丹,4.8,54,350
Demo_plot1,10,3,1,2,A96741,軟毛柿,10.5,7,360
Demo_plot1,10,3,1,2,A14052,長尾栲,1.2,113,66
Demo_plot1,10,3,1,2,A86394,高士佛赤楠,2,295,180
Demo_plot1,10,3,1,2,A78494,菱葉衛矛,2.1,335,5
Demo_plot1,10,3,1,2,A72520,九節木,2.3,168,129
Demo_plot1,10,3,1,2,A54165,高士佛赤楠,3.6,343,311
Demo_plot1,10,3,1,2,A28539,毛雞屎樹,7.9,359,5
Demo_plot1,10,3,1,2,A99461,烏心石舅,1.5,391,136
Demo_plot1,10,3,1,2,A18586,銳脈木薑子,6.8,115,14
Demo_plot1,10,3,1,2,A37183,高士佛赤楠,2,308,66
Demo_plot1,10,3,1,2,A97703,野牡丹,3.6,161,111
Demo_plot1,10,3,1,2,A17022,銳脈木薑子,19.7,334,26
Demo_plot1,10,3,1,2,Y25336,臺灣石櫟,20,,
Demo_plot1,10,3,1,2,Y25337,臺灣石櫟,10,,
Demo_plot1,10,3,1,2,Y25338,臺灣石櫟,28,,
Demo_plot1,10,3,2,2,A54592,南仁五月茶,1.8,184,402
Demo_plot1,10,3,2,2,A61725,九節木,4.7,275,301
Demo_plot1,10,3,2,2,A09721,革葉冬青,2.3,400,225
Demo_plot1,10,3,2,2,A32158,九節木,1.2,150,54
Demo_plot1,10,3,2,2,A74612,長尾栲,1.6,84,126
Demo_plot1,10,3,2,2,A95742,長尾栲,1,134,186
Demo_plot1,10,3,2,2,A27944,高士佛赤楠,1.6,26,176
Demo_plot1,10,3,2,2,A47233,臺灣楊桐,12,436,435
Demo_plot1,10,3,2,2,A11538,金斗椆,1.6,272,56
Demo_plot1,10,3,2,2,A98538,軟毛柿,2.5,241,44
Demo_plot1,10,3,2,2,A82723,奧氏虎皮楠,1.2,153,426
Demo_plot1,10,3,2,2,A52963,紅花八角,4.5,97,337
Demo_plot1,10,3,2,2,A41474,長尾栲,17,239,212
Demo_plot1,10,3,2,2,A14591,長尾栲,2,6,225
Demo_plot1,10,3,2,2,A05254,革葉冬青,1.7,161,5
Demo_plot1,10,3,2,2,A75829,革葉冬青,9.8,137,168
